partname,partsite,unitofmeasure,factor,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
BA023401,PEPSICOLA_PUERTO_RICO_66336,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,74cd87fbc12080bdbe78192ec7c93d37de16839c9c1e8973cbe8ff4938839ab6
BA010901,MARES_2060885,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,2c073c7aeaff7b3b373ec921f29cbc6859b8cc59284acd95bb611b38260c7fde
BA022912,CORRIPIO_66274,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,16ad09bb782d27121aa27a1ef31b28c262163537733cecaa6512f3899e5a7731
BA006231,THE_TESALIA_30001,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,ef28948689b5f4341905d53a111e534195af1d4878bf50e9ea7fdc28d38bd7ad
BA023968,EMBOTELLADORA_LA_REYNA_66332,PAL,0.008333333333333333,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,2830a1d6a6ddb76df30aa143f1932d22b75be3eb8afe633a13dc40c9c966e8a9
BA022790,EMBOTELLADORA_LA_NACIONAL_2060890,PAL,0.016666666666666666,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,01acc1903d3154de74e367118f436f2a1b6490a4551a85017355ed324f7d9773
BA013098,EMBOTELLADORA_LA_MARIPOSA_66328,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,8d2a6637dc5d19a2089c42865936c5ded310a74c9ba93588622d128ca4b3fee8
BA013206,THE_TESALIA_30001,PAL,0.011904761904761904,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,7050a88d7c7b29bc3f0482b0b412daef99094309c263085b1c3090faa23604b5
AA864077,MARES_2060885,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,b67d8c5faa57265e672a77937bcf126149e40ababbb6995e8509ae8910ad196d
BA007155,THE_TESALIA_30001,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,cc2c4b498fa67471e6cd85dcfc85b802c7d049181acb871c2820455f233e1d83
BA022817,THE_TESALIA_30001,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,e754d098544bdb44fde1d98968146782c3204a5ea366afc66d453cbbdfabf798
BA018679,REFRESCO_66385,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,f12bbbd8a66b544cccc2e56ee7aac8776d0c771721fe7d36898b888e5c6816ad
AA552209,TRANSMUNDI_2067820,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,22e8a35c70af0145d4bdfb6111b182fceb40f13b778da6ff1e4bd49494c4b60f
BA018134,MARES_2060885,PAL,0.001388888888888889,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,f8df5b465a0d76d969a8982e00f48b819987c5a8d67cb897e4bcc4447facd142
BA019929,THE_TESALIA_30001,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,cfb94bcc5a4329e2d44839ce2e6ace103997608cf2436ccfaa29e300f0008b4e
BA020437,THE_TESALIA_30001,PAL,0.029411764705882353,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,08f2176dfad7f1c3b0fbab77c70f66c34ffdeef68823e9fb72b60c2f353eded3
BA019687,THE_TESALIA_30001,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,5e8b0b182c855be535d4e65bb863a65fd7bef409434115acf500d0b121e8e4b6
BA018497,PEPSICOLA_PUERTO_RICO_66336,PAL,0.004807692307692308,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,ba0e5d092ebab3af6e507f1b263dc9dd2b52326207e0f13d95c08617645aa5e1
BA019551,PEPSICOLA_PUERTO_RICO_66336,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,e06c5985c74fcc3c5f98ee8c85c5ccfe2d2ef43e2d65b636d0e8d6ba9b47210f
AA028005,EMBOTELLADORA_LA_MARIPOSA_66328,UN,12,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,ced424bea634b17f12a0218f2d25e50884c2a956632a06be68e5f9d8b2bdf33e
BA019042,EMBOTELLADORA_LA_MARIPOSA_66328,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,e9db2ce732bcdaa75532ae871c5e4f0630aae9391ecd4100d47722c0692a277a
