batch_id,batch_name,triggered_by,start_time,end_time,status,total_files,successful_files,failed_files,inserted_at,last_updated_at,comments,skip_files
BATCH_20251230_054949_8cfb70,Daily Ingestion - Synexis,Azure Function,2025-12-30T05:49:49.651Z,2025-12-30T05:50:48.400Z,success,10,10,0,2025-12-30T05:49:49.651Z,2025-12-30T05:50:48.400Z,null,0
BATCH_20251230_053611_cac070,Daily Ingestion - Synexis,Azure Function,2025-12-30T05:36:11.551Z,null,Running,10,-1,-1,2025-12-30T05:36:11.551Z,2025-12-30T05:36:11.551Z,null,-1
BATCH_20251230_053610_d35193,Daily Ingestion - Synexis,Azure Function,2025-12-30T05:36:10.883Z,null,Running,10,-1,-1,2025-12-30T05:36:10.883Z,2025-12-30T05:36:10.883Z,null,-1
BATCH_20251230_032930_90a5cc,Daily Ingestion - Synexis,Azure Function,2025-12-30T03:29:30.210Z,2025-12-30T03:30:41.231Z,success,10,10,0,2025-12-30T03:29:30.210Z,2025-12-30T03:30:41.231Z,null,0
BATCH_20251230_031618_8f72cc,Daily Ingestion - Synexis,Azure Function,2025-12-30T03:16:18.941Z,2025-12-30T03:17:10.142Z,success,10,10,0,2025-12-30T03:16:18.941Z,2025-12-30T03:17:10.142Z,null,0
BATCH_20251230_023450_7eb338,Daily Ingestion - Synexis,Azure Function,2025-12-30T02:34:50.518Z,2025-12-30T02:35:51.602Z,success,10,10,0,2025-12-30T02:34:50.518Z,2025-12-30T02:35:51.602Z,null,0
BATCH_20251230_020027_df4a8d,Daily Ingestion - Synexis,Azure Function,2025-12-30T02:00:27.915Z,2025-12-30T02:01:31.020Z,success,10,10,0,2025-12-30T02:00:27.915Z,2025-12-30T02:01:31.020Z,null,0
BATCH_20251229_115703_f7b7b1,Daily Ingestion - Synexis,Azure Function,2025-12-29T11:57:03.972Z,2025-12-29T11:58:00.762Z,success,10,10,0,2025-12-29T11:57:03.972Z,2025-12-29T11:58:00.762Z,null,0
BATCH_20251229_114651_f58cbd,Daily Ingestion - Synexis,Azure Function,2025-12-29T11:46:51.055Z,2025-12-29T11:47:45.447Z,success,10,10,0,2025-12-29T11:46:51.055Z,2025-12-29T11:47:45.447Z,null,0
BATCH_20251229_112921_7a3d28,Daily Ingestion - Synexis,Azure Function,2025-12-29T11:29:21.252Z,2025-12-29T11:30:16.689Z,success,10,10,0,2025-12-29T11:29:21.252Z,2025-12-29T11:30:16.689Z,null,0
BATCH_20251229_111550_ce6fdc,Daily Ingestion - Synexis,Azure Function,2025-12-29T11:15:50.210Z,2025-12-29T11:17:17.782Z,success,10,10,0,2025-12-29T11:15:50.210Z,2025-12-29T11:17:17.782Z,null,0
BATCH_20251229_110020_20fd03,Daily Ingestion - Synexis,Azure Function,2025-12-29T11:00:20.059Z,2025-12-29T11:01:20.022Z,success,10,10,0,2025-12-29T11:00:20.059Z,2025-12-29T11:01:20.022Z,null,0
BATCH_20251229_103454_c46d52,Daily Ingestion - Synexis,Azure Function,2025-12-29T10:34:54.742Z,null,Running,10,-1,-1,2025-12-29T10:34:54.742Z,2025-12-29T10:34:54.742Z,null,-1
BATCH_20251229_100828_cfe049,Daily Ingestion - Synexis,Azure Function,2025-12-29T10:08:28.678Z,2025-12-29T10:09:29.144Z,success,10,10,0,2025-12-29T10:08:28.678Z,2025-12-29T10:09:29.144Z,null,0
