material,id_producing_plant,cod_cliente,tipo_costo,mes,valor,year,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
BA022911,SP00,66274,FREIGHT,1,0.8188775510204082,2026,BA022911~SP00~66274~FREIGHT~2026~1,47daca7dc00a877934099f111cec2b7af4f4e82423654f16f1a9840c2568b75c,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA005736,SP00,2108340,RAW MATERIALS,10,3.481072123124979,2026,BA005736~SP00~2108340~RAW MATERIALS~2026~10,989b297002791252fd0a8f64686d08e6c5f620c8ca5ff6ab1e531019f946afc0,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA019658,SP00,66274,RAW MATERIALS,4,4.056123732312154,2026,BA019658~SP00~66274~RAW MATERIALS~2026~4,db4d6029216f0a3424774a92f588cf51016713d065a8cf6c4899a4d4fd8cad59,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA004905,SP00,66274,ESCENARIOS,10,0,2026,BA004905~SP00~66274~ESCENARIOS~2026~10,04cf6cd1a9831dfc3f6818127f21a544a7748710bf24d3f6fe99059a935dc6bf,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA001444,SP00,66377,STRATEGIC MATERIALS,11,0.8660454537088524,2026,BA001444~SP00~66377~STRATEGIC MATERIALS~2026~11,47bb55f899301a4092a864e189ddfb0f405d1c0b7c33ec77a7d3df9e0cdefb90,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA251209,SP00,2067820,STRATEGIC MATERIALS,5,0.29784217281269576,2026,AA251209~SP00~2067820~STRATEGIC MATERIALS~2026~5,a55b819e18e5d70349ce25f50d6b0176f751817e647add8b56c742dd870e29c5,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA020519,SP00,66274,STRATEGIC MATERIALS,8,0.798917977182375,2026,BA020519~SP00~66274~STRATEGIC MATERIALS~2026~8,a99c611450bcefb09c202efbeb3bb88bf9cbb6555f0af62ab8f738b716cea0f9,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA020758,SP00,2108340,PRODUCTION FEE,10,1.17,2026,BA020758~SP00~2108340~PRODUCTION FEE~2026~10,c85b0a0ddc8dd2549fb774f6285c07942b4a3f98157c6e42262631bb2b67a69a,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA007458,SP00,66377,STRATEGIC MATERIALS,8,1.0990929842684782,2026,BA007458~SP00~66377~STRATEGIC MATERIALS~2026~8,be03ef807a7375acd0190e6d2a32449d9c6606a3250b3401f7c4275c989cfb80,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA017302,SP00,2108340,ESCENARIOS,11,0,2026,BA017302~SP00~2108340~ESCENARIOS~2026~11,91ed5f614453f47532fb918dedf71ec402e8eafd8b4406d522ab211b258f8d9f,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
