workflow_id,workflow_name,task_name,env,version,params_json,checksum,is_current,valid_from,valid_to
286895381596248,wf_silver_calendar,upload_gold_calendar,dev,1,"{""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""column_list"":""value,Description"",""file_name"":""Calendar.tab"",""file_path"":""to_maestro/"",""table_name"":""beliv_dev.synexis.silver_calendar"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
791765044547810,wf_gold_calendar_date_dim,upload_gold_calendar_date_dim,dev,1,"{""file_name"":""CalendarDate.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""calendar,displayValue,value"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
164329534284513,wf_gold_unit_of_measure,upload_gold_unit_of_measure,dev,1,"{""file_name"":""UnitOfMeasure.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""measure_name,factor"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
471603129664655,wf_gold_supplier,upload_gold_supplier,dev,1,"{""file_name"":""Supplier.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""id,site_value,name"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
610268748648100,wf_gold_bill_of_material,load_gold_bill_of_material,prd,1,"{""target_table"":""beliv_prd.synexis.gold_bill_of_material"",""table_name"":""beliv_prd.synexis.silver_bill_of_material"",""silver_sku_producing_plant"":""beliv_prd.synexis.bronze_sku_producing_plant"",""silver_initial_inventory"":""beliv_prd.synexis.silver_initial_inventory"",""part_table"":""beliv_prd.synexis.gold_part_master"",""silver_masterplan_procurement"":""beliv_prd.synexis.silver_masterplan_procurement""}",null,true,null,null
1040122872095691,wf_gold_part_source_transfer,load_gold_part_source_transfer,prd,1,"{""table_name"":""beliv_prd.synexis.silver_masterplan_procurement"",""target_table"":""beliv_prd.synexis.gold_part_source_transfer"",""sku_table"":""beliv_prd.synexis.bronze_sku_producing_plant"",""part_table"":""beliv_prd.synexis.gold_part_master"",""bom_table"":""beliv_prd.synexis.silver_bill_of_material"",""site_table"":""beliv_prd.synexis.gold_site_master""}",null,true,null,null
245368066493166,wf_gold_part_source_make,load_gold_part_source_make,prd,1,"{""table_name"":""beliv_prd.synexis.bronze_schedule_receipt_requisition"",""target_table"":""beliv_prd.synexis.gold_part_source_make"",""sku_table"":""beliv_prd.synexis.bronze_sku_producing_plant"",""part_table"":""beliv_prd.synexis.gold_part_master"",""bom_table"":""beliv_prd.synexis.silver_bill_of_material"",""cost_table"":""beliv_prd.synexis.bronze_synaxis_cost_per_unit""}",null,true,null,null
23621294459416,wf_gold_part_master,load_gold_part_master,prd,1,"{""target_table"":""beliv_prd.synexis.gold_part_master"",""silver_id_pricing"":""beliv_prd.synexis.silver_id_pricing"",""silver_inventory_policy"":""beliv_prd.synexis.silver_inventory_policy"",""silver_masterplan_procurement"":""beliv_prd.synexis.silver_masterplan_procurement"",""silver_synaxis_cost_per_unit"":""beliv_prd.synexis.silver_synaxis_cost_per_unit"",""silver_bill_of_material"":""beliv_prd.synexis.silver_bill_of_material"",""silver_sku_producing_plant"":""beliv_prd.synexis.silver_sku_producing_plant""}",null,true,null,null
532594219189505,wf_silver_schedule_receipt_requisition,load_silver_schedule_receipt_requisition,prd,1,"{""target_table"":""beliv_prd.synexis.silver_schedule_receipt_requisition""}",null,true,null,null
649878458048876,wf_silver_master_plan_procurement,load_silver_masterplan_procurement,prd,1,"{""target_table"":""beliv_prd.synexis.silver_masterplan_procurement"",""sku_producing_plant"":""beliv_prd.synexis.silver_sku_producing_plant""}",null,true,null,null
