customer_id,part_site_value,customer_site_value,part_name,forecast_item_path,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
68371,REVIVE TRADING_68371,REVIVE TRADING_68371,AA276081,AA276081_REVIVE TRADING_68371,68371,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,8f75ee0f0610b77734de83037583933f30c7893d497d8a13296360e48525fd0b
66336,PEPSICOLA_PUERTO_RICO_66336,PEPSICOLA_PUERTO_RICO_66336,BA017961,BA017961_PEPSICOLA_PUERTO_RICO_66336,66336,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,bc69055623d468cae323435c4352056ee46f6788d4942fbd5beb3272b2a9e05a
66328,EMBOTELLADORA_LA_MARIPOSA_66328,EMBOTELLADORA_LA_MARIPOSA_66328,AA007005,AA007005_EMBOTELLADORA_LA_MARIPOSA_66328,66328,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,3aa8a6f81eeb4b7208e9cdc78715810c4d060752fb027b95c0eaf6b0ca53bd2e
66336,PEPSICOLA_PUERTO_RICO_66336,PEPSICOLA_PUERTO_RICO_66336,BA024996,BA024996_PEPSICOLA_PUERTO_RICO_66336,66336,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,af12b5bad1cf3b8cd1f676ff1015d0267daa0969276755e18b1d383170e5de6c
2060885,MARES_2060885,MARES_2060885,AA004005,AA004005_MARES_2060885,2060885,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,8809f9aa3e50615e029755c3609f26d06477d7fb0cbaef91fb648786d65043f5
66328,EMBOTELLADORA_LA_MARIPOSA_66328,EMBOTELLADORA_LA_MARIPOSA_66328,AA835110,AA835110_EMBOTELLADORA_LA_MARIPOSA_66328,66328,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,6791e74dd7c70dbe3e5c730444f408b78a53aec7bcabf724501e3a46f47770a8
68111,TROPICAL FRESH_68111,TROPICAL FRESH_68111,BA022759,BA022759_TROPICAL FRESH_68111,68111,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,49a29dc188d53bb8a0e1c37e84d430cc403dc8ce641d364af0ed632e315d7ef0
66332,EMBOTELLADORA_LA_REYNA_66332,EMBOTELLADORA_LA_REYNA_66332,AA293077,AA293077_EMBOTELLADORA_LA_REYNA_66332,66332,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,e5acbd98efd498097d206ca9752cc795936dd4a83a0f235ca6035821baa84c3d
66840,B&L GOOD BROTHERS_66840,B&L GOOD BROTHERS_66840,BA007455,BA007455_B&L GOOD BROTHERS_66840,66840,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,2ab5d2bc0a25c000882e847e3fb15755a7150f0e91b918ab25a6875c3970624b
2064553,SAN_RAFAEL_2064553,SAN_RAFAEL_2064553,BA005340,BA005340_SAN_RAFAEL_2064553,2064553,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,1c66095456e374c251f1277ad8dfaa2c849470c2a1acc1fd24644ebebcd674f9
