batch_execution_id,batch_name,start_time,end_time,status,total_workflows,successful_workflows,failed_workflows,skipped_workflows,error_message,last_updated_at,executed_workflows
BATCH_20260202_030017_e01e8d,Daily Databricks Batch - Synexis,2026-02-02T03:00:17.847Z,2026-02-02T03:07:51.646Z,Failed,20,10,0,0,Layer 'SILVER' failed: Layer SILVER (index 1) failed with 1 failed workflows out of 8 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-02T03:07:23.107Z,null
BATCH_20260130_040038_3a3670,Monthly Databricks Batch - Synexis,2026-01-30T04:00:38.401Z,2026-01-30T04:18:35.977Z,Success,15,15,0,0,null,2026-01-30T04:18:06.195Z,null
BATCH_20260130_030050_844d60,Daily Databricks Batch - Synexis,2026-01-30T03:00:51.112Z,2026-01-30T03:28:28.983Z,Success,20,20,0,0,null,2026-01-30T03:28:03.916Z,null
BATCH_20260129_040040_279ebe,Monthly Databricks Batch - Synexis,2026-01-29T04:00:40.600Z,2026-01-29T04:21:28.046Z,Success,15,15,0,0,null,2026-01-29T04:21:11.179Z,null
BATCH_20260129_030031_6462c9,Daily Databricks Batch - Synexis,2026-01-29T03:00:31.957Z,2026-01-29T03:23:50.238Z,Success,20,20,0,0,null,2026-01-29T03:23:36.218Z,null
BATCH_20260128_051633_8b77fb,Monthly Databricks Batch - Synexis,2026-01-28T05:16:33.791Z,2026-01-28T05:25:48.455Z,Success,6,6,0,0,null,2026-01-28T05:25:28.883Z,null
BATCH_20260128_045529_deb0e2,Daily Databricks Batch - Synexis,2026-01-28T04:55:29.960Z,2026-01-28T05:07:19.121Z,Success,11,11,0,0,null,2026-01-28T05:06:48.918Z,null
BATCH_20260128_010038_2e5597,Monthly Databricks Batch - Synexis,2026-01-28T01:00:38.854Z,2026-01-28T01:09:44.887Z,Failed,15,0,2,0,Layer 'SILVER' failed: Layer SILVER (index 0) failed with 2 failed workflows out of 2 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-28T01:09:16.904Z,null
BATCH_20260128_000038_f0c1cf,Daily Databricks Batch - Synexis,2026-01-28T00:00:38.528Z,2026-01-28T00:13:09.417Z,Failed,20,0,3,0,Layer 'BRONZE' failed: Layer BRONZE (index 0) failed with 3 failed workflows out of 3 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-28T00:12:57.710Z,null
BATCH_20260127_044445_082eb3,Daily Databricks Batch - Synexis,2026-01-27T04:44:45.517Z,2026-01-27T04:50:30.357Z,Failed,20,1,0,0,Layer 'BRONZE' failed: Layer BRONZE (index 0) failed with 2 failed workflows out of 3 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-27T04:50:22.293Z,null
