material,id_producing_plant,cod_cliente,tipo_costo,mes,year,valor,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
AA583079,SP00,66377,FREIGHT,7,2026,1.277342283914479,AA583079~SP00~66377~FREIGHT~2026~7,208b8acafb537b25e13b96288f492ef729f5440f98c9f35471b4a8477db41cfd,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA760389,J001,66318,PRODUCTION FEE,3,2026,0,AA760389~J001~66318~PRODUCTION FEE~2026~3,2198da713a2ca341f02f45c0893b0c867f187d24b1050535aba72bb752c83461,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA649622,SP00,66336,PRODUCTION FEE,7,2026,0,AA649622~SP00~66336~PRODUCTION FEE~2026~7,e0e5054955056fca4473a31806c21a9217bee135480e74a686d213cc113259cc,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA018813,SP00,2060890,RAW MATERIALS,10,2026,0,BA018813~SP00~2060890~RAW MATERIALS~2026~10,1c579da265ac1f487de1d1d171b7f25938bfe7001dfe32d4e9a8efde4a65e57c,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA005102,400000105,30001,RAW MATERIALS,4,2026,0,BA005102~400000105~30001~RAW MATERIALS~2026~4,38966ae16e36c5e83179e23fabe022e1410e66792a217857bc197bcdf09d26db,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA005211,400000105,30001,STRATEGIC MATERIALS,11,2026,0,BA005211~400000105~30001~STRATEGIC MATERIALS~2026~11,c6d37a7b21ab1fdd1ce821388c99422295a6ef31577f5d1e318a0f053972b69c,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA018488,152094,66336,ESCENARIOS,10,2026,0,BA018488~152094~66336~ESCENARIOS~2026~10,09c219e00d2a00992bb74dcc2c12cd3400ecad770ff1fcaa40302fca66cf1c0e,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA760392,J001,66301,RAW MATERIALS,4,2026,6.46,AA760392~J001~66301~RAW MATERIALS~2026~4,d9dea64bcfbf05b48744667ed345e4c4583e4fad608d0e57fe5a78473cbfe085,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA018278,SP00,66336,STRATEGIC MATERIALS,9,2026,0,BA018278~SP00~66336~STRATEGIC MATERIALS~2026~9,50cbca97aa0966c928dfe4db322d9fa5c3b92b1a6b5e3b3be188c8ee970445af,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA005455,SP00,66624,FREIGHT,12,2026,0.022,BA005455~SP00~66624~FREIGHT~2026~12,fe77aff22c9a2734abc8b622ac401863500a1154c82fc8251e09969f95e1777a,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
