header_category,header_customer,header_part_name,header_site,date,header_customer_name,quantity,unit_price,currency,SellIN_Flag,integration_id,record_key_hash,batch_id,execution_id,create_timestamp,last_updated_timestamp
Shipments,66385,BA022100,REFRESCO_66385,20260209,REFRESCO,6701.59,0.00,USD,Y,0a04265d03fae37646ea92ff71c6f279e2d1a66178b23b82734fe217e9d195b0,0a04265d03fae37646ea92ff71c6f279e2d1a66178b23b82734fe217e9d195b0,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66382,BA000793,DISTRIBUIDORA_EUROPEA_66382,20260130,DISTRIBUIDORA_EUROPEA,64347.37,0.00,USD,Y,02632ff2e271ae534ade2ce2499370d9b8721c39dfcf963f2121cd8d72e93b37,02632ff2e271ae534ade2ce2499370d9b8721c39dfcf963f2121cd8d72e93b37,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA022756,REFRESCO_66385,20260209,REFRESCO,6701.59,0.00,USD,Y,632ceb329bc07398cadc726de131744082958edf7a69e178c4bda9680669bb5e,632ceb329bc07398cadc726de131744082958edf7a69e178c4bda9680669bb5e,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66402,AA583600,C.E.L._DISTRIBUTORS_66402,20260130,C.E.L._DISTRIBUTORS,560.00,9.75,USD,Y,2faa0263af8651f4aee638b3b4a8cfc74237739712973ff16cb4ba1d49e55032,2faa0263af8651f4aee638b3b4a8cfc74237739712973ff16cb4ba1d49e55032,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,AAF1010075,REFRESCO_66385,20260122,REFRESCO,6701.59,0.00,USD,Y,c6428144e56a0efe965c0c3f13ff2ecf0d6d53b989b9cb6e2fe4d5721bb2bb1e,c6428144e56a0efe965c0c3f13ff2ecf0d6d53b989b9cb6e2fe4d5721bb2bb1e,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66317,BA010921,IBERIA_FOODS_NY_66317,20260128,IBERIA_FOODS_NY,330.00,10.48,USD,Y,428f5c798854c4e3eaf2d60f1d3f61dfcc9c247ae62e2430a2e5ba498df8f7fd,428f5c798854c4e3eaf2d60f1d3f61dfcc9c247ae62e2430a2e5ba498df8f7fd,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA019771,REFRESCO_66385,20260121,REFRESCO,670.16,0.00,USD,Y,50111adf2e16076423f460f06392cb5c9f524bdf739e4f284a1a36cb403e4f70,50111adf2e16076423f460f06392cb5c9f524bdf739e4f284a1a36cb403e4f70,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA019772,REFRESCO_66385,20260122,REFRESCO,7431.59,0.00,USD,Y,7c1b837136ae81b132a7f42c37aa243f35926f637063c3598897f45d4e58a8d6,7c1b837136ae81b132a7f42c37aa243f35926f637063c3598897f45d4e58a8d6,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2067820,AA251190,TRANSMUNDI_2067820,20260126,TRANSMUNDI,990.01,0.00,USD,Y,51581db9f3f03a864f339db26439555321641b7e765f5cf7c8ab3a6a297ec2db,51581db9f3f03a864f339db26439555321641b7e765f5cf7c8ab3a6a297ec2db,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66402,AA583389,C.E.L._DISTRIBUTORS_66402,20260123,C.E.L._DISTRIBUTORS,280.00,9.75,USD,Y,44df5bac3e0dde748415bdfaba33e75c807a2f4d13ef94bb579d6db5f71a8676,44df5bac3e0dde748415bdfaba33e75c807a2f4d13ef94bb579d6db5f71a8676,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2108340,BA006258,IMPADOEL_2108340,20260128,IMPADOEL,105.00,0.00,USD,Y,f3da7cc4be617eae4c550049c1f15b4d035ea3a30c7647b56a26a2b00b742833,f3da7cc4be617eae4c550049c1f15b4d035ea3a30c7647b56a26a2b00b742833,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2108340,BA005741,IMPADOEL_2108340,20260128,IMPADOEL,189.00,0.00,USD,Y,7fe4a2c5daf2047e167a1de74714812322232076b7eb38a7c49cd32c184dedf3,7fe4a2c5daf2047e167a1de74714812322232076b7eb38a7c49cd32c184dedf3,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA019771,REFRESCO_66385,20260122,REFRESCO,6701.59,0.00,USD,Y,d02151e971ede697874a4e464757aa6c2c25516aa239c5e543ef7fa936183a2d,d02151e971ede697874a4e464757aa6c2c25516aa239c5e543ef7fa936183a2d,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA019772,REFRESCO_66385,20260202,REFRESCO,7431.59,0.00,USD,Y,39c0ce75bafadebbadd74b1ae911975de059c6761ce4f633fa8eaa5847e096bc,39c0ce75bafadebbadd74b1ae911975de059c6761ce4f633fa8eaa5847e096bc,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA019773,REFRESCO_66385,20260121,REFRESCO,20.64,0.00,USD,Y,e51948a36bc4a80faa4b0fe06cc8c4d32a9bcb08a5ae69c0bc8dab33ce6c139f,e51948a36bc4a80faa4b0fe06cc8c4d32a9bcb08a5ae69c0bc8dab33ce6c139f,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA019698,REFRESCO_66385,20260223,REFRESCO,138.98,0.00,USD,Y,b896abe158e5a3856607b2e2ca01f18442f18bf838f820b5db6f8bbd191057a4,b896abe158e5a3856607b2e2ca01f18442f18bf838f820b5db6f8bbd191057a4,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
