customer_id,part_name,site_value,status,onorder,monthlyclosing,stockout,date,record_key_hash,integration_id,batch_id,execution_id,create_timestamp,last_updated_timestamp
30001,BA019138,THE_TESALIA_30001,Regular,0.00,0.00,44.78,20251031,9e39a249a881810ab874b2e22b48cc85d571a5128099a5811c0d78502f9a42d1,9e39a249a881810ab874b2e22b48cc85d571a5128099a5811c0d78502f9a42d1,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA018323,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,1371.78,20250830,e7ec475f78fb2b1952af16bef0e232492d668eb6b136aa5525b6084f3b2dd1b0,e7ec475f78fb2b1952af16bef0e232492d668eb6b136aa5525b6084f3b2dd1b0,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
30001,BA024963,THE_TESALIA_30001,Regular,0.00,0.00,252.86,20250531,22645609325173709c34aa618afeb8a25d77cfe44bef778b80cad31aaaed4799,22645609325173709c34aa618afeb8a25d77cfe44bef778b80cad31aaaed4799,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
30001,BA024963,THE_TESALIA_30001,Regular,0.00,0.00,1171.47,20250930,904180e67d77c719a58d4dc4c9119b7427bedbc724db14870fac1d24b56ea22f,904180e67d77c719a58d4dc4c9119b7427bedbc724db14870fac1d24b56ea22f,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA003526,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,12.08,20251031,a1b3da45cc056f4bc2e6b8f8cc55f8922b5667c3560e0e14c5a849b6c6cc4765,a1b3da45cc056f4bc2e6b8f8cc55f8922b5667c3560e0e14c5a849b6c6cc4765,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA003526,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,109.38,20250630,75a6f7a1d1fb8c2fdf4dcab5f2102d1f490bfd8a4686ca4e331fe23611f54cec,75a6f7a1d1fb8c2fdf4dcab5f2102d1f490bfd8a4686ca4e331fe23611f54cec,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA005471,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,5354.00,20260131,606fe3d857cdd7a57bef39d7e39c7212ed13d4f1aa38b856af4a9969f4687a18,606fe3d857cdd7a57bef39d7e39c7212ed13d4f1aa38b856af4a9969f4687a18,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,AA001005,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,0.00,20250325,cc0dad105e7315e5a8162cef1a116001dba2c962a14e2d72e3e34b5b77e57050,cc0dad105e7315e5a8162cef1a116001dba2c962a14e2d72e3e34b5b77e57050,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,AA065077,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,75.45,20250430,80d036690d795e8560f618d45f9ea2df35f735168cc282d29cc2670b2f554213,80d036690d795e8560f618d45f9ea2df35f735168cc282d29cc2670b2f554213,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA005471,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,1440.00,20251130,4e05e7aadaf6cf1275b8e4f28b9c5dd9f2f0aad9464c67e8d8535b67a7369620,4e05e7aadaf6cf1275b8e4f28b9c5dd9f2f0aad9464c67e8d8535b67a7369620,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA003526,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,655.14,20250430,cd26d4d77ab7bba01672f2e400e49d9d23c716bc3337ba3669720c28ce314bcb,cd26d4d77ab7bba01672f2e400e49d9d23c716bc3337ba3669720c28ce314bcb,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
2060885,BA010901,MARES_2060885,Regular,0.00,0.00,0.00,20250329,712f65018543183f08c6c8d6cec84d89e2ba2acf8baa483841f9958384d76d57,712f65018543183f08c6c8d6cec84d89e2ba2acf8baa483841f9958384d76d57,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
